Vase.godine,Pol,Mjesto.prebivalista,Stepen.obrazovanja,Radni.odnos,Sektor.zaposlenja,Posjedovanje.ZO,Mjesecna.primanja,Stanarina,Prije.izdaciHrana,Trenutno.izdaciHrana,Potrosacki.kredit,Potencijalno.potrosackiKredit,Trajanje.mjera,Odnos.premaAkcijama,Poteskoce.nabavka,Uvid.podaci,Nadzor,Egzistencija,Novcana.pomoc,Uvjesti.mjere,Zdravstveni.kapaciteti,Internet.prije,Internet.sad,Redovno.informisanje,Uticaj.karantin,Nova.vjestina,Postovanje.mjera
18-24,Muski,Kotor,Master studije,Nezaposlen/a,Privatni,Ne idem na posao,900€+,Ne iznajmljujem,201-300€,300€+,Ne,Ne,manje od mjesec dana,Zadovoljan/a sam,Ne,Da,Da,Ne,Da,Ne,Ne,3-5h,3-5h,Ne,Utice pozitivno,Da,Da
18-24,Muski,Plav,Fakultet (BSc),"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,0-300€,Ne iznajmljujem,300€+,300€+,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Ne,Da,5h+,5h+,Da,Ne utice na mene,Ne,Da
18-24,Zenski,Budva,Srednja skola,Nezaposlen/a,Nezaposlen/a,Ne idem na posao,900€+,Ne iznajmljujem,201-300€,300€+,Ne,Ne,1-2 mjeseca,Neutralan/na,Ne,Ne,Da,Ne,Ne,Ne,Ne,1-3h,1-3h,Da,Utice negativno,Ne,Da
25-34,Zenski,Budva,Fakultet (BSc),"Zaposlen/a, idem na posao",Drzavni,Ne,301-600€,"Da, od 0-100€",201-300€,300€+,Ne,Ne,vise od 2 mjeseca,Neutralan/na,Ne,Da,Da,Da,Da,Da,Ne,3-5h,5h+,Ne,Utice pozitivno,Da,Da
35-44,Muski,Podgorica,Fakultet (BSc),Nezaposlen/a,Nezaposlen/a,Ne idem na posao,0-300€,Ne iznajmljujem,300€+,300€+,Ne,Ne,1-2 mjeseca,Nezadovoljan/a sam,Ne,Ne,Ne,Ne,Ne,Da,Ne,3-5h,3-5h,Da,Ne utice na mene,Da,Da
0-17,Zenski,Budva,Osnovna skola,Nezaposlen/a,Nezaposlen/a,Ne idem na posao,0-300€,Ne iznajmljujem,201-300€,201-300€,Ne,Ne,1-2 mjeseca,Neutralan/na,Ne,Ne,Da,Ne,Ne,Da,Ne,0-1h,5h+,Da,Utice negativno,Da,Da
25-34,Zenski,Budva,Fakultet (BSc),"Zaposlen/a, radim od kuce",Drzavni,Ne idem na posao,301-600€,"Da, od 101-300€",101-200€,101-200€,Ne,Ne,vise od 2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Ne,Da,3-5h,5h+,Da,Ne utice na mene,Da,Da
18-24,Zenski,Bar,Fakultet (BSc),"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,301-600€,"Da, od 101-300€",101-200€,101-200€,Ne,Ne,vise od 2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Da,Ne,3-5h,3-5h,Da,Utice pozitivno,Da,Da
35-44,Zenski,Podgorica,Srednja skola,Nezaposlen/a,Nezaposlen/a,Ne idem na posao,0-300€,Ne iznajmljujem,101-200€,101-200€,Ne,Ne,vise od 2 mjeseca,Zadovoljan/a sam,Ne,Da,Da,Ne,Da,Da,Ne,5h+,5h+,Da,Utice negativno,Ne,Da
35-44,Zenski,Podgorica,Fakultet (BSc),"Zaposlen/a, idem na posao",Drzavni,Ne idem na posao,0-300€,"Da, od 101-300€",300€+,300€+,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Da,Da,3-5h,3-5h,Da,Ne utice na mene,Ne,Da
35-44,Zenski,Podgorica,Fakultet (BSc),"Zaposlen, ali na nametnutom godisnjem odmoru",Drzavni,Ne idem na posao,301-600€,Ne iznajmljujem,101-200€,101-200€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Ne,Da,Ne,Ne,Ne,Ne,5h+,5h+,Da,Utice negativno,Ne,Da
18-24,Zenski,Bar,Srednja skola,Nezaposlen/a,Nezaposlen/a,Ne idem na posao,0-300€,"Da, od 0-100€",201-300€,201-300€,Ne,Ne,1-2 mjeseca,Neutralan/na,Da,Ne,Da,Ne,Ne,Ne,Ne,1-3h,3-5h,Ne,Ne utice na mene,Da,Da
18-24,Muski,Bijelo Polje,Srednja skola,Nezaposlen/a,Nezaposlen/a,Ne idem na posao,0-300€,"Da, od 0-100€",201-300€,300€+,Ne,Ne,vise od 2 mjeseca,Zadovoljan/a sam,Da,Ne,Da,Ne,Ne,Da,Ne,5h+,5h+,Da,Utice pozitivno,Da,Da
35-44,Zenski,Podgorica,Srednja skola,Nezaposlen/a,Nezaposlen/a,Ne idem na posao,0-300€,Ne iznajmljujem,101-200€,300€+,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Ne,Ne,Ne,Ne,Ne,Ne,3-5h,5h+,Da,Ne utice na mene,Ne,Da
18-24,Zenski,Bar,Fakultet (BSc),Nezaposlen/a,Privatni,Ne idem na posao,301-600€,"Da, od 101-300€",300€+,300€+,Ne,Ne,1-2 mjeseca,Neutralan/na,Ne,Ne,Ne,Ne,Ne,Ne,Ne,3-5h,5h+,Da,Utice negativno,Da,Da
35-44,Zenski,Podgorica,Fakultet (BSc),Nezaposlen/a,Nezaposlen/a,Ne idem na posao,301-600€,"Da, od 101-300€",201-300€,201-300€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Da,Ne,Da,Ne,Da,5h+,5h+,Da,Ne utice na mene,Da,Da
18-24,Muski,Danilovgrad,Fakultet (BSc),"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,301-600€,Ne iznajmljujem,101-200€,101-200€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Da,Da,3-5h,5h+,Da,Utice pozitivno,Da,Da
18-24,Zenski,Podgorica,Srednja skola,Nezaposlen/a,Nezaposlen/a,Ne idem na posao,900€+,Ne iznajmljujem,300€+,300€+,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Da,Da,1-3h,1-3h,Da,Utice pozitivno,Da,Da
18-24,Muski,Podgorica,Fakultet (BSc),"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,301-600€,"Da, od 101-300€",201-300€,300€+,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Ne,Da,Ne,Ne,Ne,Ne,5h+,5h+,Ne,Utice pozitivno,Da,Da
25-34,Muski,Podgorica,Srednja skola,"Zaposlen/a, idem na posao",Privatni,Da,301-600€,Ne iznajmljujem,300€+,201-300€,Ne,Ne,vise od 2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Da,Da,Da,Da,1-3h,3-5h,Da,Ne utice na mene,Ne,Da
18-24,Zenski,Tivat,Fakultet (BSc),"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,0-300€,"Da, 300€+",300€+,101-200€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Da,Ne,5h+,5h+,Da,Utice pozitivno,Da,Da
18-24,Zenski,Podgorica,Fakultet (BSc),"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,0-300€,Ne iznajmljujem,101-200€,201-300€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Ne,Da,Ne,Da,Ne,Ne,1-3h,3-5h,Da,Ne utice na mene,Da,Da
25-34,Zenski,Podgorica,Fakultet (BSc),"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,301-600€,"Da, od 101-300€",201-300€,201-300€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Da,Da,1-3h,3-5h,Da,Utice negativno,Da,Da
25-34,Muski,Podgorica,Fakultet (BSc),"Zaposlen/a, idem na posao",Privatni,Da,301-600€,Ne iznajmljujem,101-200€,101-200€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Ne,Ne,Ne,Ne,Da,Da,0-1h,1-3h,Da,Utice pozitivno,Ne,Da
18-24,Muski,Kotor,Master studije,Nezaposlen/a,Nezaposlen/a,Ne idem na posao,301-600€,Ne iznajmljujem,201-300€,300€+,Ne,Ne,manje od mjesec dana,Zadovoljan/a sam,Ne,Da,Da,Ne,Da,Ne,Ne,3-5h,3-5h,Ne,Utice pozitivno,Da,Da
18-24,Zenski,Mojkovac,Srednja skola,Nezaposlen/a,Nezaposlen/a,Ne idem na posao,0-300€,Ne iznajmljujem,0-100€,0-100€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Da,Da,1-3h,3-5h,Ne,Utice pozitivno,Da,Da
18-24,Muski,Podgorica,Master studije,"Zaposlen/a, idem na posao",Privatni,Ne idem na posao,301-600€,Ne iznajmljujem,300€+,300€+,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Da,Ne,5h+,5h+,Da,Ne utice na mene,Da,Da
25-34,Zenski,Podgorica,Master studije,"Zaposlen/a, idem na posao",Privatni,Ne idem na posao,900€+,"Da, od 101-300€",101-200€,101-200€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Ne,Da,5h+,5h+,Da,Ne utice na mene,Da,Da
18-24,Zenski,Podgorica,Fakultet (BSc),Nezaposlen/a,Nezaposlen/a,Ne idem na posao,0-300€,Ne iznajmljujem,300€+,300€+,Ne,Da,1-2 mjeseca,Zadovoljan/a sam,Ne,Ne,Ne,Ne,Da,Da,Da,1-3h,3-5h,Da,Utice negativno,Da,Da
25-34,Zenski,Podgorica,Master studije,"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,301-600€,"Da, od 101-300€",201-300€,201-300€,Ne,Ne,vise od 2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Da,Da,1-3h,3-5h,Da,Utice pozitivno,Da,Da
18-24,Zenski,Andrijevica,Fakultet (BSc),"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,0-300€,Ne iznajmljujem,101-200€,101-200€,Ne,Ne,manje od mjesec dana,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Ne,Ne,5h+,5h+,Da,Utice negativno,Da,Da
18-24,Zenski,Podgorica,Fakultet (BSc),"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,301-600€,Ne iznajmljujem,300€+,201-300€,Ne,Ne,vise od 2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Ne,Ne,3-5h,5h+,Da,Utice negativno,Ne,Da
18-24,Zenski,Berane,Fakultet (BSc),"Zaposlen, ali na nametnutom godisnjem odmoru",Drzavni,Ne idem na posao,301-600€,Ne iznajmljujem,201-300€,201-300€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Da,Da,Ne,1-3h,5h+,Da,Utice negativno,Da,Da
18-24,Zenski,Tuzi,Fakultet (BSc),"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,0-300€,Ne iznajmljujem,101-200€,201-300€,Ne,Ne,vise od 2 mjeseca,Zadovoljan/a sam,Ne,Da,Da,Ne,Ne,Ne,Da,1-3h,5h+,Da,Utice pozitivno,Da,Da
18-24,Muski,Podgorica,Fakultet (BSc),Nezaposlen/a,Nezaposlen/a,Ne idem na posao,0-300€,"Da, od 101-300€",101-200€,101-200€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Da,Da,1-3h,5h+,Ne,Ne utice na mene,Da,Ne
18-24,Zenski,Podgorica,Fakultet (BSc),"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,301-600€,Ne iznajmljujem,300€+,300€+,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Ne,Da,5h+,5h+,Da,Ne utice na mene,Ne,Da
25-34,Zenski,Podgorica,Master studije,"Zaposlen/a, radim od kuce",Privatni,Da,601-900€,Ne iznajmljujem,201-300€,201-300€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Da,Da,3-5h,1-3h,Da,Utice pozitivno,Da,Da
25-34,Zenski,Podgorica,Fakultet (BSc),"Zaposlen/a, radim od kuce",Privatni,Ne,601-900€,Ne iznajmljujem,300€+,300€+,Ne,Ne,vise od 2 mjeseca,Neutralan/na,Ne,Ne,Da,Ne,Da,Da,Ne,1-3h,5h+,Da,Utice negativno,Ne,Da
25-34,Muski,Podgorica,Master studije,"Zaposlen/a, radim od kuce",Nezaposlen/a,Ne idem na posao,601-900€,Ne iznajmljujem,300€+,300€+,Ne,Ne,vise od 2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Ne,Da,1-3h,5h+,Da,Utice negativno,Da,Da
25-34,Muski,Podgorica,Fakultet (BSc),"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,900€+,Ne iznajmljujem,300€+,300€+,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Da,Da,5h+,5h+,Da,Utice negativno,Da,Da
35-44,Zenski,Podgorica,Doktorat,"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,900€+,Ne iznajmljujem,300€+,300€+,Ne,Ne,vise od 2 mjeseca,Zadovoljan/a sam,Ne,Ne,Ne,Ne,Ne,Ne,Ne,3-5h,3-5h,Da,Ne utice na mene,Da,Da
25-34,Muski,Podgorica,Master studije,"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,601-900€,Ne iznajmljujem,201-300€,201-300€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Da,Ne,3-5h,5h+,Da,Utice negativno,Ne,Da
18-24,Zenski,Podgorica,Master studije,"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,0-300€,Ne iznajmljujem,300€+,300€+,Ne,Da,vise od 2 mjeseca,Zadovoljan/a sam,Ne,Ne,Ne,Ne,Da,Da,Ne,1-3h,3-5h,Da,Utice pozitivno,Ne,Da
25-34,Zenski,Podgorica,Fakultet (BSc),"Zaposlen/a, idem na posao",Privatni,Ne idem na posao,301-600€,"Da, 300€+",101-200€,101-200€,Ne,Ne,vise od 2 mjeseca,Neutralan/na,Ne,Ne,Da,Da,Da,Ne,Ne,3-5h,1-3h,Ne,Utice pozitivno,Da,Da
18-24,Muski,Podgorica,Fakultet (BSc),"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,301-600€,Ne iznajmljujem,101-200€,201-300€,Ne,Ne,vise od 2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Ne,Ne,1-3h,1-3h,Da,Ne utice na mene,Ne,Da
25-34,Zenski,Podgorica,Fakultet (BSc),"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,0-300€,Ne iznajmljujem,201-300€,201-300€,Ne,Ne,vise od 2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Ne,Da,3-5h,3-5h,Da,Ne utice na mene,Da,Da
18-24,Zenski,Budva,Fakultet (BSc),Nezaposlen/a,Nezaposlen/a,Ne idem na posao,0-300€,"Da, od 101-300€",300€+,101-200€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Ne,Da,Ne,Da,Da,Ne,3-5h,5h+,Ne,Ne utice na mene,Ne,Da
18-24,Zenski,Niksic,Fakultet (BSc),"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,0-300€,Ne iznajmljujem,300€+,300€+,Ne,Ne,manje od mjesec dana,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Da,Da,3-5h,3-5h,Ne,Utice pozitivno,Ne,Da
0-17,Muski,Budva,Osnovna skola,Nezaposlen/a,Nezaposlen/a,Ne idem na posao,301-600€,"Da, od 101-300€",201-300€,201-300€,Ne,Ne,vise od 2 mjeseca,Nezadovoljan/a sam,Ne,Ne,Da,Ne,Da,Da,Ne,1-3h,5h+,Da,Ne utice na mene,Ne,Da
18-24,Zenski,Podgorica,Master studije,"Zaposlen/a, radim od kuce",Drzavni,Ne idem na posao,0-300€,Ne iznajmljujem,300€+,300€+,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Da,Ne,3-5h,5h+,Da,Utice pozitivno,Ne,Da
25-34,Zenski,Podgorica,Fakultet (BSc),"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,301-600€,"Da, od 101-300€",201-300€,201-300€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Da,Da,1-3h,3-5h,Da,Utice negativno,Da,Da
18-24,Zenski,Niksic,Fakultet (BSc),"Zaposlen/a, radim od kuce",Drzavni,Ne idem na posao,0-300€,Ne iznajmljujem,201-300€,201-300€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Ne,Ne,Ne,Ne,Ne,Ne,1-3h,1-3h,Da,Ne utice na mene,Ne,Da
65+,Muski,Niksic,Srednja skola,Nezaposlen/a,Nezaposlen/a,Ne idem na posao,0-300€,Ne iznajmljujem,201-300€,201-300€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Da,Ne,Ne,Da,1-3h,1-3h,Da,Ne utice na mene,Ne,Da
45-54,Zenski,Podgorica,Srednja skola,"Zaposlen/a, idem na posao",Privatni,Ne,601-900€,"Da, od 101-300€",201-300€,300€+,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Da,Da,0-1h,1-3h,Da,Ne utice na mene,Ne,Da
18-24,Muski,Niksic,Fakultet (BSc),Nezaposlen/a,Nezaposlen/a,Ne idem na posao,0-300€,"Da, od 0-100€",300€+,300€+,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Ne,Da,Ne,Ne,Da,Da,1-3h,1-3h,Da,Utice pozitivno,Da,Da
35-44,Zenski,Podgorica,Fakultet (BSc),"Zaposlen/a, idem na posao",Privatni,Ne,301-600€,Ne iznajmljujem,300€+,300€+,Ne,Ne,vise od 2 mjeseca,Zadovoljan/a sam,Ne,Ne,Ne,Ne,Ne,Da,Ne,1-3h,1-3h,Da,Utice negativno,Ne,Da
65+,Muski,Kotor,Fakultet (BSc),Penzioner/ka,Privatni,Da,301-600€,Ne iznajmljujem,300€+,300€+,Ne,Ne,vise od 2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Ne,Da,1-3h,1-3h,Da,Ne utice na mene,Ne,Da
45-54,Muski,Podgorica,Doktorat,"Zaposlen/a, radim od kuce",Drzavni,Da,900€+,Ne iznajmljujem,300€+,300€+,Ne,Ne,vise od 2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Da,Da,1-3h,3-5h,Da,Utice pozitivno,Da,Da
35-44,Zenski,Podgorica,Srednja skola,"Zaposlen/a, radim od kuce",Privatni,Da,301-600€,Ne iznajmljujem,300€+,300€+,Ne,Ne,1-2 mjeseca,Neutralan/na,Ne,Da,Ne,Ne,Ne,Ne,Da,1-3h,1-3h,Ne,Ne utice na mene,Da,Da
18-24,Zenski,Podgorica,Master studije,"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,301-600€,Ne iznajmljujem,201-300€,201-300€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Da,Ne,Ne,Ne,Da,1-3h,1-3h,Da,Utice pozitivno,Da,Da
25-34,Muski,Podgorica,Srednja skola,"Zaposlen/a, idem na posao",Privatni,Da,301-600€,"Da, od 101-300€",300€+,300€+,"Da, 3000€+",Da,vise od 2 mjeseca,Neutralan/na,Ne,Ne,Da,Ne,Da,Ne,Ne,0-1h,0-1h,Da,Ne utice na mene,Ne,Da
18-24,Zenski,Podgorica,Srednja skola,Nezaposlen/a,Nezaposlen/a,Ne idem na posao,0-300€,Ne iznajmljujem,300€+,300€+,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Ne,Da,Ne,Da,Ne,Ne,1-3h,0-1h,Da,Utice pozitivno,Da,Da
35-44,Zenski,Niksic,Master studije,"Zaposlen/a, radim od kuce",Drzavni,Ne idem na posao,301-600€,Ne iznajmljujem,201-300€,300€+,Ne,Ne,vise od 2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Da,Ne,1-3h,1-3h,Ne,Ne utice na mene,Da,Da
18-24,Zenski,Podgorica,Srednja skola,Nezaposlen/a,Nezaposlen/a,Ne idem na posao,900€+,Ne iznajmljujem,201-300€,101-200€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Ne,Da,Da,Ne,Ne,Ne,1-3h,5h+,Da,Utice negativno,Ne,Ne
18-24,Zenski,Podgorica,Srednja skola,Nezaposlen/a,Nezaposlen/a,Ne idem na posao,301-600€,Ne iznajmljujem,201-300€,201-300€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Ne,Ne,Ne,Ne,Ne,Ne,1-3h,5h+,Da,Ne utice na mene,Da,Da
18-24,Zenski,Herceg Novi,Fakultet (BSc),Nezaposlen/a,Nezaposlen/a,Ne idem na posao,0-300€,"Da, od 101-300€",0-100€,0-100€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Ne,Ne,Ne,Da,Ne,Ne,3-5h,5h+,Da,Utice pozitivno,Da,Da
18-24,Zenski,Podgorica,Fakultet (BSc),"Zaposlen/a, idem na posao",Privatni,Ne,301-600€,"Da, od 101-300€",300€+,201-300€,Ne,Ne,vise od 2 mjeseca,Neutralan/na,Ne,Ne,Da,Da,Da,Ne,Ne,3-5h,3-5h,Da,Utice negativno,Ne,Da
25-34,Zenski,Podgorica,Fakultet (BSc),"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,301-600€,Ne iznajmljujem,201-300€,300€+,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Ne,Da,5h+,5h+,Da,Ne utice na mene,Ne,Da
25-34,Muski,Podgorica,Fakultet (BSc),"Zaposlen, ne radim, primam 60% neto zarade",Privatni,Ne idem na posao,301-600€,Ne iznajmljujem,201-300€,201-300€,Ne,Da,vise od 2 mjeseca,Zadovoljan/a sam,Ne,Da,Da,Ne,Ne,Ne,Ne,5h+,5h+,Da,Utice pozitivno,Da,Da
18-24,Zenski,Podgorica,Srednja skola,Nezaposlen/a,Nezaposlen/a,Ne idem na posao,0-300€,Ne iznajmljujem,300€+,201-300€,Ne,Ne,1-2 mjeseca,Nezadovoljan/a sam,Ne,Ne,Da,Da,Ne,Ne,Ne,5h+,5h+,Da,Utice negativno,Ne,Ne
18-24,Zenski,Podgorica,Srednja skola,Nezaposlen/a,Nezaposlen/a,Ne idem na posao,0-300€,Ne iznajmljujem,300€+,300€+,Ne,Ne,1-2 mjeseca,Neutralan/na,Ne,Ne,Da,Ne,Ne,Ne,Ne,3-5h,5h+,Ne,Utice pozitivno,Da,Da
18-24,Zenski,Podgorica,Fakultet (BSc),Nezaposlen/a,Nezaposlen/a,Ne idem na posao,0-300€,"Da, od 101-300€",101-200€,101-200€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Ne,Da,Ne,Da,Da,Da,5h+,5h+,Da,Utice negativno,Da,Da
18-24,Zenski,Podgorica,Fakultet (BSc),"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,0-300€,"Da, od 101-300€",201-300€,300€+,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Ne,Da,Ne,Da,Ne,Ne,1-3h,5h+,Da,Utice negativno,Da,Da
18-24,Zenski,Podgorica,Fakultet (BSc),Nezaposlen/a,Nezaposlen/a,Ne idem na posao,900€+,Ne iznajmljujem,201-300€,201-300€,Ne,Ne,vise od 2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Da,Ne,3-5h,5h+,Da,Utice negativno,Ne,Da
25-34,Zenski,Podgorica,Fakultet (BSc),"Zaposlen/a, radim od kuce",Drzavni,Ne idem na posao,0-300€,Ne iznajmljujem,201-300€,201-300€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Da,Ne,Ne,Ne,Ne,Ne,Ne,3-5h,3-5h,Da,Ne utice na mene,Ne,Da
25-34,Zenski,Podgorica,Srednja skola,Nezaposlen/a,Nezaposlen/a,Ne idem na posao,0-300€,Ne iznajmljujem,300€+,300€+,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Ne,Ne,Ne,Da,Da,Da,1-3h,1-3h,Da,Utice pozitivno,Ne,Da
35-44,Zenski,Podgorica,Doktorat,"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,301-600€,"Da, od 101-300€",101-200€,101-200€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Da,Ne,3-5h,3-5h,Da,Ne utice na mene,Da,Da
18-24,Zenski,Podgorica,Fakultet (BSc),"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,0-300€,"Da, od 101-300€",201-300€,300€+,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Ne,Da,Ne,Da,Ne,Ne,1-3h,5h+,Da,Utice negativno,Da,Da
35-44,Zenski,Podgorica,Srednja skola,Nezaposlen/a,Nezaposlen/a,Ne idem na posao,301-600€,Ne iznajmljujem,300€+,300€+,Ne,Ne,1-2 mjeseca,Neutralan/na,Ne,Ne,Da,Ne,Ne,Da,Ne,0-1h,1-3h,Da,Utice pozitivno,Ne,Da
35-44,Zenski,Podgorica,Srednja skola,"Zaposlen/a, idem na posao",Privatni,Ne idem na posao,601-900€,"Da, od 101-300€",300€+,300€+,Ne,Ne,1-2 mjeseca,Nezadovoljan/a sam,Da,Ne,Ne,Ne,Da,Da,Ne,3-5h,5h+,Da,Ne utice na mene,Ne,Da
35-44,Zenski,Danilovgrad,Srednja skola,"Zaposlen/a, idem na posao",Drzavni,Da,301-600€,Ne iznajmljujem,300€+,300€+,Ne,Da,vise od 2 mjeseca,Zadovoljan/a sam,Da,Ne,Ne,Da,Ne,Ne,Ne,0-1h,1-3h,Ne,Ne utice na mene,Ne,Da
25-34,Zenski,Podgorica,Srednja skola,"Nezaposlen/a, dobio otkaz zbog pandemije",Privatni,Ne idem na posao,0-300€,Ne iznajmljujem,201-300€,201-300€,Ne,Ne,1-2 mjeseca,Neutralan/na,Da,Ne,Ne,Da,Da,Ne,Da,3-5h,3-5h,Ne,Utice pozitivno,Da,Da
45-54,Zenski,Podgorica,Fakultet (BSc),"Zaposlen/a, radim od kuce",Privatni,Ne idem na posao,601-900€,Ne iznajmljujem,201-300€,201-300€,Ne,Ne,vise od 2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Da,Da,0-1h,0-1h,Da,Ne utice na mene,Da,Da
18-24,Zenski,Danilovgrad,Srednja skola,Nezaposlen/a,Nezaposlen/a,Ne idem na posao,0-300€,"Da, od 101-300€",300€+,300€+,Ne,Ne,vise od 2 mjeseca,Zadovoljan/a sam,Ne,Da,Ne,Ne,Ne,Da,Da,3-5h,3-5h,Da,Utice negativno,Da,Da
18-24,Zenski,Bar,Fakultet (BSc),Nezaposlen/a,Nezaposlen/a,Ne idem na posao,0-300€,Ne iznajmljujem,201-300€,201-300€,Ne,Ne,1-2 mjeseca,Zadovoljan/a sam,Ne,Ne,Da,Ne,Ne,Da,Ne,3-5h,5h+,Da,Utice pozitivno,Ne,Da
